village_id,TRI,TRI_c,TRI_percentile_DIY,PAI,PAI_percentile_DIY
3403100011,2.3959978163161466,-0.2656543836546947,63.16,0.0399477728355399,54.92
3403100004,2.634054167929452,-0.0275980320413893,64.53,-0.787261762,21.97
3403100010,1.5291208241449503,-1.132531375825891,24.71,-0.018312259,51.72
3403100008,1.7423125546144222,-0.9193396453564192,39.59,-0.340464959,35.7
3403100013,3.4480293775707804,0.7863771775999391,72.31,-2.304968614,3.2
3403100006,1.9047607233284696,-0.7568914766423718,50.57,0.094336024,57.67
3403100007,1.7545732384169883,-0.907078961553853,40.73,0.1285829223203763,60.64
3403100002,1.7460443694708632,-0.9156078304999782,40.05,-0.473671492,31.81
3403110011,6.029504385768126,3.3678521857972847,95.88,0.022319917725502,53.55
3403110003,3.263504571703561,0.6018523717327198,70.48,0.102581180539584,58.12
3403110004,3.564407182500257,0.9027549825294154,73.46,-1.236171639,12.13
3403110010,5.127459628172073,2.465807428201231,90.85,0.2223799750187639,66.36
3403110005,5.023361746374888,2.3617095464040463,89.47,-1.625349284,6.86
3403110009,5.170769677659468,2.5091174776886267,92.22,0.2639227847337608,68.42
3403110008,2.9513320930162914,0.28967989304545,68.88,1.0048535588127043,83.52
3403110002,3.118382944969779,0.4567307449989375,70.02,-0.353561382,35.24
3403110006,4.428732871789958,1.7670806718191163,83.3,0.1007379537926277,57.89
3403110007,3.451996451250208,0.7903442512793668,72.54,0.046400517,55.61
3403110001,3.666788420072817,1.0051362201019756,75.06,0.1189327632058794,59.73
3403020005,2.089376737,-0.5722754629708415,57.21,0.1246011038417677,60.41
3403020007,1.882563019874752,-0.7790891800960893,49.89,-0.703152773,24.26
3403020002,2.774190809794946,0.1125386098241048,67.51,-0.302856514,37.76
3403020001,2.728664649847523,0.0670124498766817,66.36,-2.214230795,3.66
3403020003,2.341934248427704,-0.3197179515431374,62.24,-1.28319398,10.07
3403020006,1.6707555180121187,-0.9908966819587226,35.24,-0.283719864,39.59
3403020004,3.2821571571571573,0.6205049571863159,70.71,0.03116828,54.0
3403010006,4.155632611637348,1.4939804116665063,79.18,-0.286980778,39.13
3403010011,4.187604029917257,1.525951829946416,79.86,-2.08660943,4.12
3403010009,4.328525766630744,1.6668735666599024,81.46,-0.798104366,20.82
3403010008,3.718384959935708,1.0567327599648668,75.29,-0.807488395,20.37
3403010010,3.3400612026204444,0.678409002649603,71.17,-1.120925427,14.19
3403010007,4.362723954877239,1.701071754906398,82.15,-1.833214701,5.26
3403040005,4.428208754521005,1.766556554550164,83.07,-0.622744613,26.09
3403040006,4.898909313932627,2.237257113961786,88.33,-0.79357046,21.05
3403040008,4.319778189321291,1.65812598935045,81.24,-0.68844891,24.49
3403040007,4.924224859206584,2.2625726592357425,88.79,-1.080163157,15.1
3403040009,3.9432087687879993,1.281556568817158,76.2,-0.172636481,44.39
3403060001,2.100051596601375,-0.5616006033694663,57.44,-1.278672271,10.3
3403060005,1.6482708127656798,-1.0133813872051616,33.87,-0.172881777,44.16
3403060004,2.429742753204758,-0.2319094467660831,63.39,-0.917585164,18.08
3403060002,3.462018189096932,0.8003659891260906,72.77,-1.036103668,16.02
3403060003,4.206297676015407,1.544645476044566,80.09,-1.274230856,10.53
3403080002,1.613726087118184,-1.0479261128526574,32.04,-1.149394254,13.5
3403080003,1.5056663523084706,-1.1559858476623708,24.03,-0.569953154,27.92
3403080001,1.3239197344031794,-1.337732465567662,8.47,-0.482051083,31.58
3403080004,1.473296360434532,-1.1883558395363094,21.97,-0.65831567,25.4
3403080008,1.4144418534037135,-1.2472103465671278,18.76,-2.766930697,2.06
3403080007,2.3887295501022496,-0.2729226498685917,62.7,-1.110064278,14.42
3403080009,2.225916277386583,-0.4357359225842585,59.73,-1.076184064,15.33
3403080006,1.9009736126381576,-0.7606785873326838,50.11,-1.259001319,10.76
3403080005,1.432719784568534,-1.2289324154023074,20.14,-0.288313565,38.9
3403070003,5.237514984310545,2.575862784339704,92.91,-0.048207853,49.89
3403070006,1.541052629597277,-1.1205995703735645,26.77,-0.286755344,39.36
3403070004,4.869114829108427,2.2074626291375856,87.87,0.2362731462236618,66.82
3403070008,4.385879229802937,1.7242270298320954,82.84,-0.735696616,23.34
3403070005,3.630755728750333,0.9691035287794918,74.83,0.00371926,52.17
3403070010,4.833967777,2.1723155770291585,87.19,-0.176404417,43.94
3403070007,5.144693969551026,2.483041769580185,91.76,-1.239294466,11.9
3403070009,4.081906582702989,1.4202543827321477,77.8,-0.430060143,33.18
3403070011,4.010948713,1.349296513029159,76.89,-3.382940205,0.23
3403070001,4.688833446404342,2.0271812464335004,85.13,-0.064855497,48.97
3403070002,2.810677330066024,0.1490251300951826,68.42,-0.336600569,36.16
3403050010,4.768399597079688,2.106747397108847,86.27,0.1782663722601696,63.84
3403050012,4.474738013717361,1.81308581374652,83.52,-1.254306266,11.21
3403050007,5.240249632,2.578597432029159,93.14,-2.413835945,2.75
3403050011,4.748683641207694,2.0870314412368525,85.81,-0.79267481,21.28
3403050015,4.485052680924033,1.823400480953192,83.75,-0.817512067,19.68
3403050013,4.789029613,2.127377413029159,86.5,-0.877293868,18.76
3403050016,5.147472338386478,2.485820138415637,91.99,-0.326569516,36.84
3403050014,4.368337132639832,1.7066849326689906,82.38,0.2964116242045952,69.34
3403150008,1.7333989988894696,-0.9282532010813718,38.67,-0.452534044,32.27
3403150007,2.0650034621138604,-0.5966487378569809,56.29,0.2622806830414486,68.19
3403150010,3.4416112059835062,0.7799590060126649,71.85,-1.686010595,6.41
3403150001,2.393709902994723,-0.2679422969761185,62.93,-0.530038658,30.21
3403150005,5.446449032990412,2.7847968330195703,94.05,-1.984063894,4.81
3403150002,1.745785688411412,-0.9158665115594292,39.82,-0.229578094,41.88
3403150004,4.159683308509946,1.4980311085391045,79.41,0.2539578413311955,67.73
3403150006,3.592562661123784,0.9309104611529428,73.68,-0.241323803,40.96
3403150003,3.620689178656909,0.9590369786860676,74.37,-0.811783514,19.91
