village_id,channel,gap,gap_terrain,gap_residual,dominance_margin,ci_lo_terrain,ci_hi_terrain,ci_lo_residual,ci_hi_residual,ci_lo_dominance,ci_hi_dominance,pr_terrain_abs_dominates,pr_residual_abs_dominates,pr_terrain_positive,pr_residual_positive,constraint_class,constraint_class_short,constraint_reason,constraint_class_idn
3404110001,FFAS,1.4820020219249663,-0.3539232591825335,1.8359252811075,-1.4820020219249663,-0.5950897555599923,-0.1329653796685137,1.61496740159348,2.0770917774849584,-1.4820020219249663,-1.4820020219249663,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404110002,DIS,-0.6863753039750583,-0.4139607342097306,-0.2724145697653277,0.1415461644444029,-0.5677948236832873,-0.2757478537445626,-0.4106274502304957,-0.1185804802917711,-0.134879596485933,0.449214343391516,0.785,0.215,0.0,0.001,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404110002,FFAS,-3.781038135158866,-0.3327102585174392,-3.448327876641427,-3.115617618123988,-0.5594220251891712,-0.124995870419934,-3.656042264738932,-3.221616109969695,-3.531046394318998,-2.662194084780524,0.0,1.0,0.003,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404110003,DIS,0.323179681482577,-0.4853566831144968,0.8085363645970738,-0.323179681482577,-0.6657225904253963,-0.3233061800532876,0.6464858615358645,0.9889022719079732,-0.323179681482577,-0.3231796814825769,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404110003,FFAS,-1.0787559305523156,-0.3900929101898264,-0.688663020362489,-0.2985701101726626,-0.6559057325215949,-0.1465539507891871,-0.9322019797631286,-0.4228501980307207,-0.7856480289739416,0.2330555344908741,0.186,0.814,0.003,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404110004,DIS,-1.543423764186849,-0.4864129839542931,-1.0570107802325557,-0.5705977962782625,-0.6671714286835313,-0.3240098040094062,-1.2194139601774427,-0.8762523355033178,-0.8954041561680364,-0.2090809068197867,0.005,0.995,0.0,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404110004,FFAS,1.1586908412455852,-0.3909418847336361,1.5496327259792213,-1.1586908412455852,-0.6573332059657514,-0.1468729019166357,1.305563743162221,1.8160240472113367,-1.1586908412455852,-1.1586908412455852,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404110005,DIS,0.323179681482577,-0.425137277339515,0.748316958822092,-0.323179681482577,-0.5831247398113939,-0.2831927815496239,0.6063724630322008,0.9063044212939708,-0.323179681482577,-0.3231796814825769,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404110005,FFAS,0.1848195005257967,-0.3416931166649415,0.5265126171907383,-0.1848195005257967,-0.5745258837814945,-0.1283706391391467,0.3131901396649434,0.7593453843072913,-0.1848195005257968,-0.1848195005257967,0.002,0.998,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404120001,DIS,-3.56253373510212,-0.490181714552263,-3.0723520205498565,-2.5821703059975936,-0.6723406767511512,-0.3265202338348716,-3.2360135012672475,-2.890193058350968,-2.909493267432376,-2.217852381599817,0.0,1.0,0.0,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404120001,FFAS,-4.51663994262934,-0.3939709047056074,-4.122669037923733,-3.7286981332181255,-0.6624262274271554,-0.1480108740056329,-4.368629068623708,-3.8542137152021847,-4.220618194618075,-3.1917874877750294,0.0,1.0,0.003,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404120002,DIS,-0.1815978112462405,-0.4794831941408483,0.2978853828946077,0.1815978112462405,-0.6576664238361544,-0.3193937269034306,0.1377959156571901,0.4760686125899137,0.1815978112462405,0.1815978112462405,1.0,0.0,0.0,1.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404120002,FFAS,-1.45948028386562,-0.3853722449833727,-1.0741080388822473,-0.6887357938988745,-0.6479683635273172,-0.1447804447389946,-1.3146998391266256,-0.8115119203383028,-1.1699193943876312,-0.1635435568109856,0.009,0.991,0.003,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404120003,DIS,-1.543423764186849,-0.4611424265974432,-1.0822813375894058,-0.6211389109919626,-0.6325099488062117,-0.3071765602299375,-1.2362472039569117,-0.9109138153806374,-0.929070643726974,-0.2784038665744259,0.001,0.999,0.0,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404120003,FFAS,2.3983759933673285,-0.3706313263249307,2.769007319692259,-2.3983759933673285,-0.6231828501325681,-0.1392424310729542,2.537618424440282,3.021558843499897,-2.3983759933673285,-2.3983759933673285,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404120004,DIS,0.0707909351181681,-0.4557516235897413,0.5265425587079094,-0.0707909351181681,-0.6251158416112074,-0.3035856342398884,0.3743765693580566,0.6959067767293754,-0.0707909351181682,-0.0707909351181681,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404120004,FFAS,-0.1214310244274165,-0.3662986075086567,0.2448675830812401,0.1214310244274165,-0.6158977776927348,-0.137614672547749,0.0161836481203324,0.4944667532653182,0.1214310244274164,0.1214310244274165,0.989,0.011,0.003,0.962,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404120005,DIS,-1.9483190357971023,-0.4303592338087044,-1.5179598019883982,-1.087600568179694,-0.5902872545324228,-0.2866712353490534,-1.661647800448049,-1.3580317812646798,-1.3749765650989956,-0.767744526732257,0.0,1.0,0.0,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404120005,FFAS,-1.1362532998297412,-0.3458901294327045,-0.7903631703970367,-0.4444730409643322,-0.5815827788491401,-0.1299474142779951,-1.0063058855517462,-0.5546705209806011,-0.876358471273751,0.0269122578685389,0.064,0.936,0.003,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404120006,DIS,0.323179681482577,-0.4242084452839543,0.7473881267665313,-0.323179681482577,-0.5818507396716819,-0.2825740672015131,0.6057537486840902,0.9050304211542588,-0.323179681482577,-0.3231796814825769,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404120006,FFAS,1.7125057201659473,-0.3409465918673303,2.053452312033277,-1.712505720165947,-0.5732706702632986,-0.1280901773424974,1.8405958975084449,2.2857763904292456,-1.7125057201659477,-1.712505720165947,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404130001,DIS,-2.0482012569156662,-0.4479415697612161,-1.60025968715445,-1.152318117393234,-0.6144034532853192,-0.2983831949675824,-1.749818061948084,-1.4337978036303471,-1.4514348669805015,-0.819394350345028,0.0,1.0,0.0,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404130001,FFAS,0.0288738272884089,-0.3600214782700965,0.3888953055585055,-0.0288738272884089,-0.6053433560567532,-0.1352564187433472,0.1641302460317561,0.634217183345162,-0.0288738272884089,-0.0288738272884089,0.003,0.997,0.003,0.998,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404130002,DIS,0.0707909351181681,-0.427294113805209,0.4980850489233771,-0.0707909351181681,-0.5860830894314135,-0.2846294951727855,0.3554204302909537,0.6568740245495814,-0.0707909351181682,-0.0707909351181681,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404130002,FFAS,-8.274429089705912,-0.3434266183204809,-7.931002471385431,-7.587575853064949,-0.5774406090777084,-0.129021898133306,-8.145407191572605,-7.696988480628203,-8.0163852934393,-7.119547871550495,0.0,1.0,0.003,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404130003,DIS,-1.543423764186849,-0.3800269179113677,-1.1633968462754811,-0.7833699283641133,-0.5212506864022177,-0.2531438330238556,-1.290279931162993,-1.0221730777846312,-1.0371360981391378,-0.5009223913824136,0.0,1.0,0.0,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404130003,FFAS,-10.67720619594595,-0.3054368292762215,-10.371769366669728,-10.066332537393508,-0.5135642356278798,-0.1147495196084702,-10.56245667633748,-10.163641960318069,-10.447707156729008,-9.65007772469019,0.0,1.0,0.003,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404130004,DIS,-1.29103501782244,-0.4261681392606796,-0.8648668785617605,-0.4386987393010808,-0.5845386856627725,-0.2838794601130166,-1.0071555577094236,-0.7064963321596678,-0.723276097596407,-0.1219576464968955,0.012,0.988,0.0,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404130004,FFAS,0.870689773727178,-0.342521645334312,1.2132114190614902,-0.8706897737271782,-0.5759189793482256,-0.1286819089588911,0.9993716826860692,1.4466087530754037,-0.8706897737271782,-0.8706897737271779,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404130005,DIS,0.8279571742113946,-0.38843143196452,1.2163886061759146,-0.8279571742113945,-0.5327784453913967,-0.2587422546141232,1.0866994288255176,1.360735619602791,-0.8279571742113947,-0.8279571742113945,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
