village_id,component,z_value
3401020005,sentra_industri,-0.7105928641998783
3401020005,toko_kelontong,0.1302895399882891
3401020005,warung_makan,-0.4558021385531842
3401020006,industri_mikro,-0.6189218090622322
3401020006,kelompok_pertokoan,1.3670512041539626
3401020006,minimarket,0.6902143079964004
3401020006,pasar_permanen,0.8704702430321755
3401020006,pasar_semi_permanen,1.021321461378604
3401020006,restoran,-0.317762598679883
3401020006,sentra_industri,1.3303230342889525
3401020006,toko_kelontong,0.9589461495943484
3401020006,warung_makan,-0.1657497734846423
3401020007,industri_mikro,-0.3374027709040786
3401020007,kelompok_pertokoan,-0.271913469439383
3401020007,minimarket,-0.1335291985497123
3401020007,pasar_permanen,-0.7314875991867019
3401020007,pasar_semi_permanen,-0.6354889093022426
3401020007,restoran,1.0313712263223114
3401020007,sentra_industri,-0.7105928641998783
3401020007,toko_kelontong,-0.0618627173116665
3401020007,warung_makan,-0.3534307155878165
3401020008,industri_mikro,0.3663948244913051
3401020008,kelompok_pertokoan,2.45969431988286
3401020008,minimarket,2.61228248993733
3401020008,pasar_permanen,0.8704702430321755
3401020008,pasar_semi_permanen,2.6781318320594507
3401020008,restoran,2.911726494919116
3401020008,sentra_industri,0.309865085044537
3401020008,toko_kelontong,2.813215432538921
3401020008,warung_makan,2.820083396338584
3401030001,industri_mikro,-0.6893015686017705
3401030001,kelompok_pertokoan,-0.8182350273038316
3401030001,minimarket,0.1410519702989919
3401030001,pasar_permanen,-0.7314875991867019
3401030001,pasar_semi_permanen,-0.6354889093022426
3401030001,restoran,-0.6550460549304316
3401030001,sentra_industri,-0.7105928641998783
3401030001,toko_kelontong,-0.8064527143489951
3401030001,warung_makan,-0.6434830806563585
3401030002,industri_mikro,-0.8099525849552649
3401030002,kelompok_pertokoan,-0.8182350273038316
3401030002,minimarket,0.1410519702989919
3401030002,pasar_permanen,-0.7314875991867019
3401030002,pasar_semi_permanen,1.021321461378604
3401030002,restoran,-0.6550460549304316
3401030002,sentra_industri,0.309865085044537
3401030002,toko_kelontong,-0.746405133942759
3401030002,warung_makan,-0.4728640423807455
3401030003,industri_mikro,-0.7496270767785177
3401030003,kelompok_pertokoan,-0.8182350273038316
3401030003,minimarket,-0.6826915362471208
3401030003,pasar_permanen,-0.7314875991867019
3401030003,pasar_semi_permanen,1.021321461378604
3401030003,restoran,-0.6550460549304316
3401030003,sentra_industri,0.309865085044537
3401030003,toko_kelontong,-0.7944431982677479
3401030003,warung_makan,-0.6776068883114811
3401030004,industri_mikro,-1.0009833608482976
3401030004,kelompok_pertokoan,-0.8182350273038316
3401030004,minimarket,-0.957272705095825
3401030004,pasar_permanen,-0.7314875991867019
3401030004,pasar_semi_permanen,-0.6354889093022426
3401030004,restoran,-0.6550460549304316
3401030004,sentra_industri,-0.7105928641998783
3401030004,toko_kelontong,-0.9745859394864564
3401030004,warung_makan,-0.8311640227595327
3401030005,industri_mikro,-0.4982707927087377
3401030005,kelompok_pertokoan,-0.8182350273038316
3401030005,minimarket,-0.1335291985497123
3401030005,pasar_permanen,-0.7314875991867019
3401030005,pasar_semi_permanen,-0.6354889093022426
3401030005,restoran,-0.6550460549304316
3401030005,sentra_industri,0.309865085044537
3401030005,toko_kelontong,-0.6623385213740283
3401030005,warung_makan,-0.6264211768287972
3401030006,industri_mikro,-0.357511273629661
3401030006,kelompok_pertokoan,-0.8182350273038316
3401030006,minimarket,-0.1335291985497123
3401030006,pasar_permanen,-0.7314875991867019
3401030006,pasar_semi_permanen,1.021321461378604
3401030006,restoran,-0.6550460549304316
3401030006,sentra_industri,-0.7105928641998783
3401030006,toko_kelontong,-0.5782719088052977
3401030006,warung_makan,-0.7287925997941649
3401030007,industri_mikro,-0.5988133063366498
3401030007,kelompok_pertokoan,-0.8182350273038316
3401030007,minimarket,-0.4081103673984165
3401030007,pasar_permanen,-0.7314875991867019
3401030007,pasar_semi_permanen,-0.6354889093022426
3401030007,restoran,-0.4864043268051572
3401030007,sentra_industri,-0.7105928641998783
3401030007,toko_kelontong,-0.8424812625927368
3401030007,warung_makan,-0.6093592730012358
3401030008,industri_mikro,-0.820006836318056
